simu_idx,session_idx,Kp,Ki,Kd,lamda
0,0,0.12087447233693657,0.5798572843843851,0.01088240474030422,0.9963420024291509
0,1,0.1207827395087202,0.5838331899609162,0.011188006233835873,0.9964371544091499
0,2,0.12050198598952089,0.5795563915184753,0.011703549508898336,0.9964883398806952
0,3,0.12355006794754375,0.5860000785712879,0.01034121569648539,0.9964342506186213
0,4,0.12327469894796433,0.5788697556757855,0.010216634133806616,0.9964325662030504
0,5,0.12367622933771542,0.5775839060885201,0.010347704748822196,0.9965437782591482
0,6,0.12042343967374985,0.5811689166670503,0.011742934030810575,0.9963962736124605
0,7,0.12027634193950419,0.5825587879685511,0.01147777568962958,0.9965143611406024
0,8,0.12103495034835839,0.5835668121303794,0.011569130617082073,0.9963752817417063
0,9,0.12018202070406502,0.5909908550234496,0.012084991046353046,0.9964706121379645
1,0,0.26855789787915374,0.9999999999940515,-0.03165455803408868,0.9910347468245149
1,1,0.24050284606380024,0.9999999981230085,-0.004117420720999368,0.9909665795609225
1,2,0.23463259794103566,0.9999526572809652,-0.0009810562350782194,0.9909733694353756
1,3,0.23331444286524128,0.9999545532454556,-0.0009579194302400609,0.9906811098222108
1,4,0.23359967789570016,0.9999525547176193,-0.00047433412404083037,0.9908060593773609
1,5,0.24094027924877348,0.9999529068404561,-0.00405660470557124,0.9910848753886548
1,6,0.2722370538190575,0.9999999999192948,-0.020969260961755113,0.9913298317682631
1,7,0.23992376396966605,0.9999548539039687,-0.0037672944743735244,0.9910106458826009
1,8,0.23839494823262417,0.9999524290643765,-0.0025252509948875323,0.9908919632506129
1,9,0.23683944367083956,0.9999523092941549,-0.001767651258767189,0.9908453190678518
2,0,0.09938313639229795,0.4659109506975892,0.008592101277297138,0.997291108204428
2,1,0.09521598956999346,0.47104887764721637,0.010672259820651458,0.9972488458133316
2,2,0.10039225429267255,0.46480750543146393,0.008429172232709298,0.9973545698547559
2,3,0.10153606673546817,0.46301439537562283,0.007864607216535154,0.9973976320176213
2,4,0.10018456443492002,0.46544300349841383,0.008504517246999395,0.9972735281708556
2,5,0.10415704641272738,0.4629317773180442,0.005870847743775687,0.9974011247194782
2,6,0.10150787348962394,0.46210673206639147,0.0073795352180217036,0.9972058511922361
2,7,0.10275466006834671,0.46433363443490644,0.006991218173811117,0.9974265156824718
2,8,0.09867837017614842,0.46556402309406997,0.00906729640883978,0.9973149507302723
2,9,0.10156319558586219,0.4697753043050934,0.008124521114468215,0.9972938814674885
3,0,0.12660472528623318,0.7214677536605602,0.024865674017411403,0.9947901596181842
3,1,0.12854838326839352,0.7243333466249401,0.023966820910797066,0.9949003681370676
3,2,0.1282886246523064,0.7219862694254683,0.02448243043779173,0.9948796393156201
3,3,0.12644441356585007,0.724906160162869,0.025556476052609054,0.9948320649837162
3,4,0.12921689732902455,0.7184223984917001,0.023440645374996457,0.9948784049110918
3,5,0.1327881155667653,0.7219462001740742,0.021029455762964104,0.9952072910566987
3,6,0.12801321372773938,0.7201773548740388,0.02394411772602581,0.9946942251037556
3,7,0.12931205955029354,0.717964767124582,0.023249270997435074,0.9949179444760854
3,8,0.12690710322843748,0.7247991504448489,0.02491247693182236,0.9948708300638217
3,9,0.12785137526222615,0.7205909512678754,0.02430391237466909,0.9950859044945297
4,0,0.35954542292522934,0.9999999728777249,-0.053219763127440714,0.9897039173814104
4,1,0.35750827311481764,0.9999588530948026,-0.05277052013445909,0.9896382675024371
4,2,0.41351076259390535,0.9999999999999463,-0.08175748724583277,0.9897144996076546
4,3,0.36734787724262896,0.999999999998702,-0.05649295486121962,0.9907615736613705
4,4,-0.17982456273979416,0.999941649198559,0.46260381814016416,0.9868521403353343
4,5,0.3665780164327253,0.9999582068183978,-0.0568405013256482,0.9898770499900771
4,6,0.43217422758279495,0.9999444280925749,-0.06286375665665539,0.9875214727113283
4,7,0.34244202148682357,0.9999999885097149,-0.04410291460711214,0.9896296763761077
4,8,0.3647261717260169,0.9999556596337155,-0.055917702359673624,0.9896336722680413
4,9,0.35837007230971507,0.999956749616606,-0.05243112714770896,0.989846503550521
5,0,0.9999967096157975,0.9999473681397786,-0.27756375959640545,0.9840608130871652
5,1,0.9999992073720569,0.9999432000666238,-0.28276307118755123,0.9842908327917498
