simu_idx,session_idx,lr
0,0,0.22201706089605297
0,1,0.22140862967380018
0,2,0.22468064881404337
0,3,0.2237259991474655
0,4,0.2229467489633411
0,5,0.22334487776134426
0,6,0.22505193398622864
0,7,0.22233315438745765
0,8,0.2239923936272162
0,9,0.22496416039071002
1,0,0.23702095732630782
1,1,0.2390248357524327
1,2,0.23772780677400418
1,3,0.23576879704349082
1,4,0.23950713244631494
1,5,0.23799881962253994
1,6,0.23557346299596457
1,7,0.24008703389877709
1,8,0.23882052535721432
1,9,0.23691271488742977
2,0,0.21037200462843617
2,1,0.2112616712100437
2,2,0.2106541690734519
2,3,0.21257265379990303
2,4,0.20950628797662932
2,5,0.2125752245612934
2,6,0.21216678356835345
2,7,0.21114136042592782
2,8,0.21033497491905231
2,9,0.21328442827710895
3,0,0.06007398421343994
3,1,0.0599524228067448
3,2,0.05950401303670139
3,3,0.06003257778006519
3,4,0.06049321560104088
3,5,0.059330167550744245
3,6,0.05993264097714535
3,7,0.06013776592332619
3,8,0.06028652549294494
3,9,0.059673741470572104
4,0,0.08631712002345444
4,1,0.08713787974418875
4,2,0.08599370639770956
4,3,0.08703300608714691
4,4,0.08622510929179263
4,5,0.08690139205049277
4,6,0.08636944471906742
4,7,0.08594804280133313
4,8,0.08695502591684971
4,9,0.08563911610098235
5,0,0.23652669040769023
5,1,0.2316994343907572
5,2,0.23544862020977703
5,3,0.23766308190774615
5,4,0.23392850508376584
5,5,0.23618813545175657
5,6,0.23431663412302972
5,7,0.23740158985793589
5,8,0.23514453997238172
5,9,0.23524046534303353
6,0,0.10113336226962427
6,1,0.10197230515222795
6,2,0.10063199326220644
6,3,0.10114922228271535
6,4,0.10097807239695955
6,5,0.1017836178042346
6,6,0.10313996244599999
6,7,0.10107062799486771
6,8,0.10000629678462734
6,9,0.10225423164268634
7,0,0.16471300069849049
7,1,0.1647880349493179
7,2,0.16614699050068565
7,3,0.1659638016066954
7,4,0.16443928128496269
7,5,0.1666167024649231
7,6,0.1634874975278126
7,7,0.16556430443370848
7,8,0.16590347070462164
7,9,0.16462348928393475
8,0,0.08457649831113365
8,1,0.08463564236928103
8,2,0.0839402531531395
8,3,0.0843712758214258
8,4,0.08425454957293271
8,5,0.08450797096475995
8,6,0.08426470202556463
8,7,0.0838535481039803
8,8,0.08465489393510064
8,9,0.08386983089680153
9,0,0.15622463526260155
9,1,0.1546267410012338
9,2,0.1574679528545992
9,3,0.15676196317857677
9,4,0.1562859174992689
9,5,0.15696050580270812
9,6,0.15641304831461325
9,7,0.15789042727248728
9,8,0.1569136872666627
9,9,0.15705454285301668
10,0,0.15242974821625313
10,1,0.1528589824159651
10,2,0.15248144864149774
10,3,0.15179046947532698
