simu_idx,session_idx,lr,weight
0,0,0.05017362425211354,2.4791048940913304e-15
0,1,0.031162279389096017,6.911762290443102e-13
0,2,0.04718322784792144,2.6626531610866985e-12
0,3,0.036865063251133284,8.195615064326337e-17
0,4,0.0276985449041611,2.632219105382548e-17
0,5,0.036897556857873944,1.9900535439361437e-13
0,6,0.047298259397671454,1.335568243665843e-14
0,7,0.04503787262522354,2.0001353837663868e-13
0,8,0.026512487348138943,2.082243594682173e-13
0,9,0.06483024724316917,5.5394758997866115e-05
1,0,0.31791431671012554,4.6546534043699783e-14
1,1,0.3192297239100187,3.488622143122407e-14
1,2,0.3161649846283697,3.113141220551648e-09
1,3,0.3174036229136901,3.1868322777472915e-14
1,4,0.32021458713282713,1.5822826713154043e-12
1,5,0.3312680088255457,1.3123026029882653e-14
1,6,0.31676677415038024,7.204699216387388e-12
1,7,0.3182272920590484,6.106773519406983e-14
1,8,0.32878562041263204,8.236151618789942e-06
1,9,0.3174275175498436,1.0707020971622703e-13
2,0,0.1531058971964443,0.00019427688427880581
2,1,0.15057244304865472,0.0004162553196305063
2,2,0.15463050514241028,0.0003551943190097887
2,3,0.16374042650259144,6.854221831520272e-05
2,4,0.13602479115039887,0.0006284189687102945
2,5,0.17102324461490817,0.00011473905180183271
2,6,0.13770409446947662,0.0006702054011393093
2,7,0.1563693161024506,0.00024450309203260216
2,8,0.1536357184103209,0.0001895132787963
2,9,0.1602646742474959,0.00020622726143169356
3,0,0.21975984494337217,0.0007981744273333832
3,1,0.20341524049292276,0.0010331615735042574
3,2,0.17513786772756634,0.0008867900483336471
3,3,0.18691105129886976,0.0006563979581571485
3,4,0.18221351017629403,0.0006259425513933938
3,5,0.1818567445784117,0.0005034978276724698
3,6,0.16529380418952133,0.0015300932325666068
3,7,0.17739179547073508,0.00043645342277120975
3,8,0.18240766409672768,0.00047226002034432264
3,9,0.2079949080387911,0.0008697846335517772
4,0,0.07574688186807556,7.5180892817166e-11
4,1,0.07610492343538401,1.5400010409861109e-09
4,2,0.0743956473116914,6.282594260882135e-06
4,3,0.0755190218194802,1.4839659782612482e-06
4,4,0.07597148442339688,7.1829506194710934e-12
4,5,0.07342698627469688,7.742247627013331e-05
4,6,0.07581021180877312,9.995568683664912e-07
4,7,0.07524057660392224,4.371910313342027e-06
4,8,0.0759133490378527,1.5998775338907756e-12
4,9,0.07591245390045108,2.6004761054442097e-11
5,0,0.10831076536178474,5.884369279227121e-09
5,1,0.08443064214446744,2.3766314787080885e-09
5,2,0.0900779562343495,3.1652613754324342e-09
5,3,0.048331989057597724,2.0766142271659534e-14
5,4,0.10720900779598874,2.8597936337483402e-08
5,5,0.11454811697834288,6.63418128506563e-13
5,6,0.04946032111058841,3.281464440450605e-17
5,7,0.03598274588386012,1.2970289179031986e-13
5,8,0.1114219843819652,6.610450958633339e-05
5,9,0.043241608025462036,1.5234896084336328e-14
6,0,0.07579165951686004,1.048709040087457e-14
6,1,0.08362741825887235,4.938320719720003e-09
6,2,0.08334533829704112,3.283247852059664e-11
6,3,0.07508625870117429,5.585833965833088e-12
6,4,0.0827287746033574,1.2578965268134906e-09
6,5,0.08299747171126715,1.630507731852423e-09
6,6,0.08053537808851792,9.89420161816063e-06
6,7,0.08273281470949531,6.873743138063114e-10
6,8,0.08298234922260449,8.312793480680653e-07
6,9,0.08329991132798592,1.2586642574356237e-13
7,0,0.11272268752034846,1.565433961567032e-13
7,1,0.11962630468185728,1.4677678413640776e-12
7,2,0.11134758528175749,6.254758891137259e-13
7,3,0.12452279273888354,8.35065707821012e-06
7,4,0.11922833818102191,1.548688284775669e-13
7,5,0.11167334443417691,1.71387506216095e-13
7,6,0.11812451750176925,7.875904395611637e-05
7,7,0.1245919673176666,2.0609644857995932e-06
7,8,0.11492748767948595,3.1426973096919246e-13
7,9,0.11601356643825268,1.9879071901418082e-13
8,0,0.3150226839313699,5.4511786110597455e-05
8,1,0.3158513857291304,0.00016243952115428992
8,2,0.31685119499448644,6.323849948406814e-05
8,3,0.3252770179663596,5.290123703569057e-13
8,4,0.3173786167128607,6.00916079144077e-05
8,5,0.31736805189661926,7.126446602091236e-05
8,6,0.3156821648447425,3.910143023686998e-05
8,7,0.3154148244932426,7.299414070838879e-05
8,8,0.3182914682829947,8.471610956912587e-05
8,9,0.31651846778164316,3.527400046720465e-05
9,0,0.025220216489780657,1.4599170866104998e-14
9,1,0.02407355547671025,4.397973802085284e-06
9,2,0.02307798888740742,6.349757839936789e-14
