p_c,lamda
0.14439461160449177,0.656030477406004
0.04491864362355247,0.8616979832384146
0.023204035999172697,0.46151805651515265
0.008395711311066504,0.5306196784218778
0.04092628902862576,0.4730703755890664
0.1079395440965321,0.5376609546559434
0.13186110682857882,0.966596056300235
0.10068154498214785,0.13322818340150178
0.05664732398114469,0.8562542898322201
0.021229325164237096,0.7433375314939961
0.05249907221839675,0.547703739556561
0.019629663653646094,0.6400304073113295
0.10079216154231048,0.34516460864912496
0.04296375013846165,0.8897043719026129
0.05094822728748664,0.5318999564601399
0.08678169281339397,0.9324273581247309
0.11943308025782981,0.14194468356369902
0.15507775377022967,0.558268746921449
0.018371053065574048,0.19378049569504383
0.1180025139327315,0.6455384493858237
0.1640436664822948,0.7469903399021854
0.09369850053398043,0.19312575217712294
0.09912826512839738,0.40222088455986005
0.12383872453113227,0.46763512511079186
0.136918442902098,0.28026608852005297
0.02225839874380224,0.514449603739989
0.15114885122871524,0.32930250167429204
0.0960213548301537,0.7892864333824735
0.12207401874299159,0.8453140961333675
0.051193761456125,0.18147677920053834
0.01252216141971464,0.6010496048603018
0.028423004626883117,0.17983991489579457
0.023594325727827492,0.3397545640981248
0.10966334816314656,0.8096584233225735
0.07135000010324337,0.6777774140156183
0.16385957224599532,0.2126406677947911
0.06805425444087301,0.921141530101929
0.04357497048781962,0.6597312604555366
0.03722552005313801,0.2877853562945478
0.14064021768992235,0.7085457878532541
0.11541527917875999,0.5275175896745442
0.03498631100559292,0.3471976016325361
0.11813107477740109,0.4891715936091583
0.1397340061225432,0.9150606688051487
0.12443382680227168,0.9744201504198454
0.12507259235294474,0.11138627984435699
0.03861748087949125,0.15653574170888687
0.041369312258498527,0.8881773795673591
0.14620929626776605,0.9921009881074799
0.14498797032884855,0.08515694492710357
0.1022559139007922,0.049630589153765725
0.03555960874134317,0.6859038823921997
0.03586687624524894,0.25808251757531603
0.07345938722050332,0.4910605833354597
0.09513851789545076,0.8290183511240189
0.12602715232165285,0.7602353243104172
0.08687113063667734,0.18501315738946728
0.11474391665265439,0.19875566715534082
0.04357740896307651,0.7680023969459377
0.15540529594772637,0.9858404339357941
0.13691563235019003,0.22679741817051488
0.03476160366500857,0.5216971735609696
0.030188990005437143,0.9826730197650558
0.1539980106919232,0.7939276915186478
0.13099904907253543,0.8055609376657434
0.0892878806256531,0.4219497645720407
0.013115586140037683,0.46740169387047326
0.10598252353226711,0.32716940741749373
0.032624969864932664,0.9877229014891309
0.07571016388098124,0.7950793379394047
0.13596435252581304,0.895951556999555
0.03125346581192337,0.25153961460405366
0.14649406120306255,0.3273209014909066
0.12020456474356736,0.08128808720865084
0.14764026240979283,0.894139282220507
0.08916330815872268,0.1565482443519491
0.1265821895754244,0.3890696181878523
0.12847976186541388,0.8140134379988762
0.08535612783500786,0.32736605837573163
0.08878325490214739,0.48732753425617553
0.10266454227583795,0.46212337721852176
0.05195689020356863,0.8532473825286049
0.09423785819052276,0.9009812968357229
0.08394942317549507,0.5759793372773025
0.10867286415135968,0.9590967007462512
0.013710732671106687,0.06213426102909204
0.023971190301096998,0.5329439293801179
0.028458076841205347,0.5939463701479777
0.03397636481175157,0.65751319054192
0.07062818509016056,0.08663427700438335
0.16522415140765737,0.7379529643608669
0.05465680096181357,0.3105856634642756
0.03299683225566341,0.8287926814230885
0.14770356615742472,0.7420807237737851
0.08290409801621462,0.5928689613764785
0.14196229294693188,0.0341944956550916
0.16335102503557705,0.8041807350961752
0.14365751789375134,0.7968814274895937
0.1451630013221329,0.995811277720781
0.10071157881910885,0.6578377829786703
0.04842110814267298,0.20870367544732238
0.12598339400032277,0.9683521796836951
0.13406616018558443,0.9322020714171076
0.040657120885916095,0.6947593386645868
0.03287876967348539,0.9473455544245211
0.16415435867604458,0.8705524731181616
0.06285920394011475,0.6360157043165634
0.07057432744708236,0.5618461575658132
0.15317576564638036,0.926820363525484
0.13577954148426608,0.8762799999458569
0.13991649141356466,0.8155941908532599
0.007589344509127752,0.6927820110918791
0.15279396869806727,0.26861007006899573
0.012430550882865044,0.5897017039792605
0.10552614990283352,0.35407148967618
0.06343197820064102,0.5329814725569565
0.0613265284985624,0.8223677505306766
0.0084169838582472,0.014773324934645535
0.10267329796623463,0.33765437997297043
0.05825429304238073,0.5358810653466751
0.16598491982015062,0.4080546896593742
0.10744938539741278,0.42644700625843884
0.07331645188014892,0.13376040401116757
0.09421495859285853,0.59688848758299
0.0483093385160506,0.8797013390200304
0.11276828139865193,0.48576439582510117
0.13352826933506254,0.5523001691596966
0.14215578254128333,0.1163410553985749
0.15969376901800894,0.9169189440921698
0.1328352048064297,0.5862394582798676
0.030687430273814858,0.8088216077140441
0.10885160445055309,0.102057195929475
0.10924042832511553,0.4089029915379903
0.10646170644977086,0.5388454765426742
0.026896981252526143,0.6346562707357952
0.05725327497695031,0.7079836896247005
0.13897337469610124,0.12688806640825434
0.11327032411525582,0.21998671420754576
0.15618996479240127,0.7861334551873118
0.009427823115150433,0.049370909807154105
0.02280158071983947,0.9351612314425216
0.062417658719266814,0.47264922745210997
0.15989317402334727,0.8063506398847604
0.05857879418129249,0.7871593900234919
0.1645102464154932,0.4709706664106146
0.11394704762351347,0.8656055258854102
0.003268315517793322,0.3388756437277307
0.09577795564803492,0.4564658291128502
0.02084036365143807,0.8980188310914613
0.11270116058772826,0.7290203741653389
0.07841292431323862,0.5168319842200452
0.15240560821976018,0.09290101480749027
0.10353543086787032,0.5084311225100265
0.0962997281846963,0.4249820143478258
0.0655119754910627,0.8240360421508242
0.054225282358350634,0.09597559918228181
0.1570621613523307,0.8261801282479189
0.07934891117427283,0.6259948696799064
0.06630330215820064,0.3331921664122911
0.03035549874685733,0.33295123260568904
0.07088241173868168,0.5337062834400276
0.12859267718611264,0.9122033645782682
0.09419451816600695,0.08856701576797411
0.015705137900659593,0.16667451293800892
0.09839485440103159,0.09001444246145761
0.1579329672255493,0.026853251097186896
0.03903225830377753,0.08916737292564778
0.13708661030249156,0.3632974621621206
0.11545807461241243,0.7018233256226394
0.13879314600494075,0.8864874449777816
0.15631098777704217,0.043658617374809444
0.05429193218353341,0.3043849258276773
0.046298665723612305,0.7768646951833759
0.141883760101475,0.5921685130252441
0.14235979782096464,0.5430732612185153
0.06760768936569964,0.49027916748914996
0.05224097169637544,0.07620373307575695
0.08138330345279361,0.3658684226912878
0.15612569560439096,0.4000272054209924
0.045652585657478185,0.41751228656591144
0.10799051616151098,0.7045441348050899
0.07725644144181237,0.6426986992337662
0.12184652755042859,0.9980129473048593
0.10990503780776274,0.9714761700778836
0.14336409620693827,0.4743598634343953
0.06386313190983449,0.8577261620062702
0.15270636053654002,0.006614751770907419
0.14346720098383678,0.27184162099992293
0.1559824040610373,0.838781572103368
