nu,kappa,omega
7.809060897582887,0.8046772641834959,-1.3997641244173742
3.811507303875128,0.662380618534111,-3.146466135779588
8.286393553346695,0.24570159361950789,-3.2186889233664018
7.816849748841385,0.9056054583498446,-3.3729904494751457
8.015991022733761,0.048924153848095044,-1.2337842027787638
3.5690820576830897,0.7510918326628925,-3.3352661991900625
3.562462923342973,0.2600143623896049,-2.1753642876064574
8.185822184877487,0.01587311611548431,-3.228123993719711
9.051889588297644,0.5458401312314919,-4.80364462483358
0.4277284379178088,0.10011838242144346,-3.9539236267795697
0.16199542216615548,0.5291021505930164,-2.0472910835138505
5.560503087535251,0.165348028745455,-1.6757663720462197
0.805371029978365,0.5178289974213383,-3.4284606497279486
9.64257392788733,0.02861195338135059,-1.2761647793503963
4.08521252324021,0.9386579803506025,-2.3636122081051254
3.2554048628440295,0.7837090600613134,-4.801297200217028
4.644355284187938,0.07585159013580325,-1.4655838813842972
8.715039210350081,0.29164320831674806,-4.0722339055405286
3.529958313512666,0.4248794434697518,-2.3209873571427826
2.157185087111499,0.3700611271059895,-3.3277212853657625
2.0168530471183272,0.6071290899094776,-4.303175161982667
2.410510975511369,0.9661091472757116,-3.050593920478905
2.144387967367317,0.28350882672456656,-1.978011389866698
2.5120505926617787,0.853795048230371,-1.316321614468703
3.207988717658222,0.38862475615261793,-4.77088197666331
5.3682395192405465,0.324679353314661,-4.656322649849969
0.8078942794704628,0.4683394900878234,-3.4364318737805912
0.42418309089872885,0.08347165846411604,-2.1599485797930176
7.064935021579536,0.5676271350551912,-3.8077134687305825
9.54643461155028,0.4815718904272552,-3.0181156027011755
6.1347436741439765,0.6984345512135274,-1.8915997872414643
6.869752808093773,0.8775285313478127,-2.6681763512573786
2.181902695534851,0.4888726230790636,-2.090212084159452
8.769306730942697,0.8918071557380103,-4.469984367406445
1.593206887532705,0.5627890707029134,-3.319614504318728
5.1105521807283845,0.46811050573659313,-1.7265969602656481
2.0894584254988944,0.9309560999635776,-2.221763437176158
3.599482238111871,0.48574440406304337,-2.440502600579051
0.8756393774450801,0.3175980110444273,-4.628076854691887
1.2137964278379278,0.46478277287721276,-1.4570315910938616
9.948927535226458,0.0836695248062343,-3.006159880276175
6.832449429838172,0.41203318715699905,-1.0505734353389384
1.1053778112007087,0.19248583648291565,-2.742919250042597
6.360234691153577,0.3393910063733717,-4.018367712555957
3.749710310182626,0.8820057212864104,-4.89727913520984
0.16241601607087708,0.2913668534237691,-3.2993703945583617
6.435484692139333,0.7573729491577951,-2.2809152713670775
1.5926332688835245,0.29380881793024705,-2.552515094245842
2.826671680411976,0.6490830105092531,-1.6399433691669236
8.330004719679895,0.07242801603845041,-3.7797311736066983
9.349642940064093,0.4997174723915732,-3.724774865840166
1.965693645968349,0.14774288540084468,-3.5719343304662767
4.329561720844254,0.9021419028263943,-4.098023693692153
8.262559065034413,0.5495758211258888,-1.7629514369547954
1.9833189762804142,0.6007620430303836,-2.7353747179833343
8.165771254799122,0.11622989944532745,-1.7009953189983378
0.8198624626441186,0.8088993267005745,-3.323869679271401
4.017780130693696,0.8397400005461061,-2.6338988467117304
9.735984485829464,0.12391780778599575,-2.961705943689278
8.801254207665128,0.047603381069506796,-2.7261826985941684
0.3926331777273677,0.3163655955402234,-1.4252458800431524
3.138825485355682,0.5144626894782448,-1.5193023571491722
0.08887310252390153,0.2433564102052731,-2.643181694621535
0.6781188563296427,0.8946399634983242,-4.299508918838927
3.304180819126206,0.4172957410285741,-4.752467973214383
0.47962670456343587,0.9713550762178431,-2.247975191716254
9.796089087163278,0.8035918400350501,-3.816865427593545
5.737052356341907,0.9977836345225545,-4.499302153459868
7.522860971213297,0.6323140478668197,-2.232987634091104
8.845349194276343,0.5819106243161006,-4.656944880290775
8.147023852409678,0.6744391442306208,-2.3692428304574897
2.792996569452511,0.07895012775479092,-4.5429561955145115
9.068846083664349,0.099238612111237,-2.660724593162719
3.249379431647117,0.7431767223118543,-3.3835099656128085
9.324691173669711,0.47856364110133265,-3.7365610094807327
4.489804722956467,0.6796542980312361,-2.2269342749433476
2.048757500481474,0.0496594189451895,-3.7767530506008593
8.665453038480216,0.11308605104039467,-1.2559131769059217
2.720921105103221,0.16347143675831913,-2.2850717340233726
5.2025401868957095,0.12450523660513821,-1.167138184867398
4.737254910420437,0.942929448016343,-3.956161506451567
5.1128630043037315,0.45747765413904906,-4.02396939723236
3.124996880644321,0.31826979051420184,-4.495673204147671
8.772761192496565,0.1362429248655265,-2.552269273165061
8.050859639520903,0.2781895312215271,-4.578933167351188
5.9724248261856525,0.6313664170898122,-1.8353573194614892
0.9465499760121296,0.3797378291293024,-3.531849730448695
4.016957663839534,0.8014425500423246,-1.3514165204148496
0.7893716256923958,0.3753053343942152,-1.3049941507307505
6.42625849616344,0.4001638087493577,-4.9363539562098975
3.4720538462976265,0.047064608821775884,-1.2185017911170304
1.4261630332921253,0.01132545642615111,-1.2342151850294845
3.0522542389786715,0.8957905610344583,-4.0467622627917885
7.436542005855451,0.4374773076927396,-4.792299275161584
6.921727305806873,0.9448219157192318,-1.6085500671840627
0.8701300237653151,0.05134272683910881,-1.6308058648171755
8.27729693060617,0.14068730184250755,-3.2189661017940305
5.349704107707212,0.5964262433223813,-4.985925944546712
3.2499993190569367,0.07940800117604603,-1.628367044860356
0.7400254119058749,0.957625744622615,-4.59189952795198
4.826235193754139,0.04735243460301063,-3.0618066672090167
2.8819434944267996,0.06818916911338045,-0.7426343827585216
7.499373861238652,0.7678897670563488,-3.997932769197799
7.802942695088536,0.9103289850014675,-1.4501995660113505
5.236208008364703,0.6808862735374765,-3.9553423810083284
8.808142571330857,0.908461290288159,-3.7753603818384924
4.094774235864694,0.8772651646859958,-1.0057229227620281
6.086882638114871,0.3578525624130483,-3.81455344962418
4.189371843940772,0.5188196200056637,-1.2493321017724095
8.914140443107275,0.2118380252550986,-2.9989658548587688
1.5634870120744355,0.17172096447325733,-2.6684967317804578
3.9576099824052737,0.20246487524673207,-4.566247360182846
0.6362290764840081,0.9533896000615341,-1.7493469676000901
8.18154751907271,0.6682799980319842,-1.8213577918745416
5.699675301956472,0.1983751650045275,-2.3327109649251163
0.8769486695188808,0.819300901863032,-4.554781012326721
5.919365089523664,0.3915810099876654,-2.570178112403405
7.667123404836256,0.966840879077342,-4.135049922420529
7.222459040688331,0.8881881286512373,-1.2542655510796727
0.9096826939279274,0.34421563694094603,-2.7097857234371956
4.610086642653076,0.2472938959700339,-4.753531799452508
7.761397416941035,0.1294704941923444,-4.70363347990487
8.590361563887166,0.9982416928811078,-2.024343918787692
2.1170055983318647,0.5593382083856855,-3.355880214247816
9.272237382244906,0.883835267459073,-3.373963337430214
3.643976294353416,0.3808969944829331,-3.2566197518594726
7.431135458836846,0.06257778317294865,-2.878602352411821
8.497712630384147,0.720905215002005,-1.119764543691794
0.4816011184642781,0.2016727599314977,-0.8959998805413341
2.8819358432679256,0.3255943653264528,-3.6038893736519437
