lr,w
0.038482266101485196,0.1400759746840976
0.04685225632909515,0.546636753758592
0.03200929905341575,0.2992295391299585
0.042237233921400136,0.6134820079711613
0.2726143144569799,0.6124740862018264
0.13973258110999925,0.45405914319011703
0.21151473775142196,0.06407305769066962
0.01837713076409973,0.3000650964169517
0.15757880307048105,0.5008271311087419
0.18305331004179867,0.5289916538177052
0.2938499161309478,0.5317584183773751
0.2967708698977983,0.24439080720492282
0.12092405310612281,0.3768472656220166
0.35174622574592807,0.21341031589057216
0.02050341815982907,0.5277558150987977
0.04267164557449747,0.5490998086841309
0.149371615680088,0.39211339782544885
0.20688997596559036,0.27328562866307876
0.18055712214572162,0.5553457805208362
0.2852012514308166,0.0505126056479934
0.2620350398351635,0.3244346035250051
0.14238533041529708,0.025290881096773115
0.2693486287696219,0.11106378275134292
0.3517961574830294,0.3288738789433467
0.24749526367547592,0.12169137301203314
0.2755799683939551,0.18121558396868448
0.21153103711122945,0.48463887973971326
0.05825300536754316,0.1858143409243706
0.3215989088290416,0.32430616677523233
0.35545140297557304,0.27611890712244824
0.23113343791448976,0.6335077012021687
0.2786999011476167,0.19855509023399556
0.18051508483597248,0.011788624533457236
0.07213923224053972,0.029661517722030302
0.33546631426117934,0.5147269151928449
0.1316306343982076,0.4171556898283379
0.05825019495048166,0.3018266320777622
0.00918370693589413,0.011858262568120564
0.2955538310596717,0.3878038985709354
0.07922786768006686,0.42235758303660736
0.11455192126814047,0.6284179717234429
0.05963440845912403,0.3251318052260957
0.08936773681551276,0.42161093481529044
0.2788718669261751,0.5777300030200635
0.005138353087212403,0.15193674657671663
0.038816276041253976,0.26038278737015247
0.15496573316996176,0.4437443808655859
0.20727407143927598,0.5543415070792718
0.05761425775132353,0.47838150108848726
0.18604973767137628,0.31361776557070054
0.24111831583149854,0.5152663598994336
0.09960894322909836,0.33283833185011175
0.08518950806325046,0.6032103272654207
0.2250890628045189,0.43823991695220466
0.23079085575214064,0.21932407723650643
0.1944909194712603,0.4008379280454028
0.17140471201593688,0.10424093642830878
0.1504859949907279,0.5754545048538082
0.042208538091216635,0.13989929419185815
0.05566327632886349,0.032262461576533175
0.21959420015741052,0.08048819331351335
0.1543625691285661,0.6002955263979806
0.028927606521783045,0.3970854352648167
0.2223783156022393,0.5617953874249086
0.33222429044736623,0.294240653200848
0.06933273888196226,0.006336217325653524
0.08157162978924633,0.18896184348021092
0.15172524337775967,0.4708473344500708
0.35428289964845733,0.19104860806324162
0.17941786664941892,0.05331239170369248
0.25349773679865817,0.10036538544698126
0.08409428864003995,0.5883245527358126
0.3415814094508712,0.6546363384776367
0.3098867051199748,0.44983367971051835
0.12756811664395654,0.565015504850835
0.24636292561060938,0.5023170310186081
0.046278711853098134,0.3702478627678324
0.09922558410279594,0.524633000225214
0.1893064149137718,0.4749737702558816
